ApplicantID,Gender,Age,MonthlyIncome,LoanAmount,CreditScore,EmploymentStatus,ExistingLoans,LoanTerm,PropertyArea,LoanApproved
LP001001,Male,28,4670.0,74400.0,663.0,Employed,0,180,Semi-Urban,1
LP001002,Female,28,5390.0,185900.0,,Employed,0,180,Rural,1
LP001003,Female,35,5900.0,81400.0,652.0,Employed,0,120,Semi-Urban,0
LP001004,Male,42,5730.0,125600.0,696.0,Employed,0,36,Semi-Urban,0
LP001005,Male,48,6900.0,234100.0,686.0,Employed,2,360,Semi-Urban,1
LP001006,Male,29,8640.0,116500.0,667.0,Employed,0,60,Urban,1
LP001007,Male,54,8310.0,178000.0,730.0,Self-Employed,1,60,Urban,1
LP001008,Female,35,6970.0,176600.0,685.0,Employed,0,180,Semi-Urban,1
LP001009,Male,37,2280.0,59900.0,656.0,Employed,2,180,Semi-Urban,1
LP001010,Female,29,1940.0,19900.0,360.0,Unemployed,1,12,Rural,0
LP001011,Male,21,5580.0,78100.0,594.0,Employed,0,60,Urban,0
LP001012,Female,47,4250.0,143600.0,594.0,Employed,1,180,Rural,1
LP001013,Female,46,4000.0,93200.0,696.0,Employed,0,240,Urban,1
LP001014,Male,34,7690.0,239800.0,775.0,Employed,1,120,Semi-Urban,1
LP001015,Male,38,3860.0,109600.0,671.0,Employed,0,180,Semi-Urban,1
LP001016,Male,43,4300.0,87300.0,673.0,Employed,5,180,Urban,1
LP001017,Male,21,9720.0,443800.0,728.0,Employed,0,360,Urban,1
LP001018,Male,32,7220.0,90000.0,690.0,Self-Employed,0,120,Urban,1
LP001019,Male,46,10500.0,204100.0,723.0,Employed,1,60,Urban,1
LP001020,Male,24,8420.0,223700.0,698.0,Employed,0,180,Semi-Urban,1
LP001021,Male,41,2770.0,39000.0,634.0,Self-Employed,2,240,Urban,1
LP001022,Male,23,,59400.0,709.0,Employed,1,60,Semi-Urban,1
LP001023,Male,43,12620.0,364000.0,788.0,Self-Employed,1,180,Urban,1
LP001024,Male,37,2770.0,31200.0,715.0,Employed,0,12,Rural,1
LP001025,Male,21,8470.0,87600.0,661.0,Self-Employed,2,36,Rural,1
LP001026,Female,50,5320.0,200900.0,614.0,Employed,1,180,Semi-Urban,1
LP001027,Male,29,1850.0,44400.0,786.0,Self-Employed,0,120,Semi-Urban,1
LP001028,Male,29,800.0,12200.0,474.0,Unemployed,0,360,Urban,0
LP001029,Male,40,5860.0,123700.0,552.0,Employed,0,240,Rural,1
LP001030,Male,50,27040.0,500000.0,637.0,Employed,4,180,Urban,1
LP001031,Male,26,4910.0,83700.0,613.0,Employed,0,180,Urban,1
LP001032,Male,38,2920.0,90800.0,761.0,Employed,1,180,Urban,1
LP001033,Male,42,6310.0,74000.0,553.0,Employed,0,36,Semi-Urban,0
LP001034,Female,45,1740.0,31000.0,752.0,Employed,0,360,Semi-Urban,1
LP001035,Female,39,5160.0,141800.0,741.0,Employed,1,360,Semi-Urban,1
LP001036,Female,33,5480.0,123600.0,618.0,Employed,3,60,Semi-Urban,0
LP001037,Male,28,8410.0,80700.0,522.0,Employed,1,60,Urban,1
LP001038,Male,38,9280.0,92700.0,515.0,Employed,2,60,Rural,0
LP001039,Female,26,4120.0,109600.0,697.0,Employed,1,240,Semi-Urban,1
LP001040,Male,21,5000.0,195800.0,662.0,Employed,0,240,Semi-Urban,1
LP001041,Male,42,3560.0,124100.0,,Employed,0,360,Semi-Urban,1
LP001042,Male,47,2920.0,106900.0,674.0,Employed,1,360,Urban,1
LP001043,Male,21,6440.0,140700.0,598.0,Employed,3,180,Urban,1
LP001044,Female,26,2700.0,28800.0,463.0,Employed,2,240,Semi-Urban,0
LP001045,Male,44,4320.0,153300.0,741.0,Employed,0,240,Urban,1
LP001046,Female,60,3140.0,110900.0,631.0,Self-Employed,0,180,Urban,0
LP001047,Male,38,7350.0,96500.0,650.0,Employed,0,180,Rural,1
LP001048,Male,29,14630.0,455400.0,529.0,Employed,3,240,Semi-Urban,1
LP001049,Male,35,2540.0,71200.0,529.0,Self-Employed,2,180,Semi-Urban,1
LP001050,Male,53,1720.0,23800.0,755.0,Self-Employed,2,240,Semi-Urban,1
LP001051,Female,30,1460.0,43500.0,639.0,Unemployed,0,240,Rural,0
LP001052,Female,29,7000.0,226300.0,740.0,Employed,1,240,Urban,1
LP001053,Female,32,6150.0,144300.0,663.0,Employed,1,240,Rural,1
LP001054,Female,27,3640.0,51700.0,549.0,Self-Employed,0,180,Semi-Urban,0
LP001055,Male,39,2520.0,30700.0,837.0,Employed,1,240,Urban,1
LP001056,Female,55,9370.0,198900.0,711.0,Employed,0,180,Urban,1
LP001057,Male,41,7150.0,85400.0,690.0,Self-Employed,0,120,Semi-Urban,1
LP001058,Male,35,7540.0,68500.0,618.0,Self-Employed,2,12,Semi-Urban,0
LP001059,Male,34,1200.0,34000.0,391.0,Unemployed,2,180,Urban,0
LP001060,Male,21,1300.0,32900.0,665.0,Unemployed,0,180,Semi-Urban,0
LP001061,Male,47,4080.0,131000.0,600.0,Self-Employed,1,360,Semi-Urban,1
LP001062,Male,37,4790.0,133200.0,720.0,Employed,0,180,Semi-Urban,1
LP001063,Female,36,17280.0,481100.0,737.0,Self-Employed,1,180,Rural,1
LP001064,Male,68,3330.0,44500.0,670.0,Employed,2,120,Rural,0
LP001065,Male,41,2350.0,23100.0,,Employed,2,36,Semi-Urban,1
LP001066,Male,29,,137700.0,780.0,Self-Employed,1,360,Rural,1
LP001067,Male,33,7640.0,185400.0,620.0,Employed,0,120,Urban,1
LP001068,Female,50,3940.0,80600.0,692.0,Employed,0,240,Urban,1
LP001069,Male,39,4480.0,171500.0,663.0,Employed,1,240,Urban,1
LP001070,Female,22,7590.0,157100.0,542.0,Self-Employed,0,180,Semi-Urban,1
LP001071,Female,48,4990.0,112900.0,666.0,Employed,2,360,Semi-Urban,1
LP001072,Male,30,12710.0,348200.0,773.0,Self-Employed,0,180,Semi-Urban,1
LP001073,Male,58,20750.0,385900.0,783.0,Employed,0,120,Urban,1
LP001074,Female,49,1910.0,77900.0,819.0,Self-Employed,0,360,Urban,1
LP001075,Female,33,14930.0,496700.0,476.0,Self-Employed,4,360,Rural,0
LP001076,Female,52,5760.0,130900.0,802.0,Employed,0,60,Rural,1
LP001077,Female,38,11660.0,58100.0,693.0,Employed,1,12,Semi-Urban,1
LP001078,Male,47,8090.0,73600.0,800.0,Employed,0,60,Semi-Urban,1
LP001079,Male,43,1020.0,25900.0,550.0,Unemployed,0,120,Semi-Urban,0
LP001080,Male,28,5620.0,167800.0,640.0,Employed,1,360,Urban,1
LP001081,Female,30,1980.0,66000.0,488.0,Unemployed,1,180,Semi-Urban,0
LP001082,Male,49,3550.0,54500.0,738.0,Employed,1,180,Semi-Urban,1
LP001083,Male,34,11130.0,142800.0,683.0,Self-Employed,2,360,Semi-Urban,1
LP001084,Male,33,3490.0,66700.0,596.0,Self-Employed,0,180,Urban,0
LP001085,Male,27,9890.0,100800.0,517.0,Self-Employed,0,120,Rural,1
LP001086,Male,42,1130.0,23700.0,541.0,Unemployed,3,360,Rural,0
LP001087,Female,60,14500.0,476500.0,719.0,Employed,0,360,Urban,1
LP001088,Male,26,5470.0,113400.0,605.0,Employed,1,360,Semi-Urban,1
LP001089,Female,38,5390.0,68300.0,555.0,Self-Employed,2,180,Rural,1
LP001090,Male,53,3290.0,157600.0,729.0,Self-Employed,0,360,Urban,1
LP001091,Male,37,27300.0,500000.0,819.0,Employed,1,60,Semi-Urban,1
LP001092,Female,42,3010.0,65600.0,642.0,Employed,0,180,Semi-Urban,1
LP001093,Female,26,4290.0,154900.0,614.0,Employed,0,360,Semi-Urban,1
LP001094,Male,42,6830.0,151000.0,702.0,Employed,0,120,Rural,1
LP001095,Female,35,7560.0,207000.0,692.0,Employed,2,360,Urban,1
LP001096,Male,48,9200.0,182500.0,652.0,Employed,0,180,Urban,1
LP001097,Male,51,22370.0,254600.0,831.0,Self-Employed,1,36,Urban,1
LP001098,Male,66,7180.0,337100.0,677.0,Employed,3,360,Urban,1
LP001099,Male,44,3040.0,43400.0,651.0,Employed,1,60,Semi-Urban,1
LP001100,Male,41,4720.0,136100.0,560.0,Employed,1,240,Semi-Urban,1
LP001101,Male,40,6430.0,73700.0,778.0,Employed,1,60,Urban,1
LP001102,Male,34,26840.0,500000.0,769.0,Self-Employed,0,360,Semi-Urban,1
LP001103,Male,41,1590.0,20800.0,557.0,Unemployed,1,120,Semi-Urban,0
LP001104,Male,34,7880.0,131600.0,706.0,Employed,1,120,Urban,1
LP001105,Female,39,5230.0,82000.0,598.0,Self-Employed,4,60,Semi-Urban,0
LP001106,Male,52,3610.0,55500.0,649.0,Self-Employed,3,360,Semi-Urban,1
LP001107,Male,26,7100.0,275900.0,568.0,Self-Employed,2,240,Semi-Urban,0
LP001108,Female,50,12960.0,207800.0,557.0,Employed,2,240,Urban,0
LP001109,Male,52,1850.0,25500.0,640.0,Unemployed,1,180,Semi-Urban,1
LP001110,Male,36,4580.0,123700.0,750.0,Employed,1,180,Rural,1
LP001111,Male,21,9270.0,199900.0,608.0,Employed,2,60,Semi-Urban,1
LP001112,Male,31,5390.0,149200.0,623.0,Employed,0,180,Urban,1
LP001113,Female,52,3910.0,47000.0,696.0,Employed,4,120,Semi-Urban,1
LP001114,Female,37,2300.0,101100.0,626.0,Employed,0,360,Urban,1
LP001115,Male,27,8520.0,220500.0,684.0,Employed,1,360,Semi-Urban,1
LP001116,Female,32,6860.0,115300.0,674.0,Employed,1,180,Urban,1
LP001117,Female,47,3210.0,51900.0,499.0,Self-Employed,3,60,Urban,0
LP001118,Male,44,4330.0,79600.0,694.0,Self-Employed,0,360,Semi-Urban,1
LP001119,Female,35,4200.0,55900.0,687.0,Employed,1,60,Urban,1
LP001120,Male,33,2230.0,26900.0,707.0,Self-Employed,1,60,Semi-Urban,1
LP001121,Female,33,3560.0,91500.0,691.0,Self-Employed,0,120,Urban,1
LP001122,Female,27,2850.0,78500.0,805.0,Self-Employed,2,180,Urban,1
LP001123,Male,55,4330.0,178600.0,767.0,Employed,1,360,Rural,1
LP001124,Male,34,3760.0,103600.0,682.0,Self-Employed,1,120,Rural,1
LP001125,Male,51,1470.0,17700.0,589.0,Unemployed,0,60,Urban,0
LP001126,Male,54,1580.0,44000.0,812.0,Self-Employed,1,180,Semi-Urban,1
LP001127,Female,48,3600.0,100500.0,744.0,Employed,1,240,Urban,1
LP001128,Female,33,7000.0,,587.0,Employed,0,120,Semi-Urban,1
LP001129,Male,42,6370.0,132600.0,751.0,Employed,0,120,Semi-Urban,1
LP001130,Male,37,3570.0,128600.0,703.0,Employed,4,360,Urban,1
LP001131,Male,28,10330.0,271200.0,801.0,Employed,1,360,Semi-Urban,1
LP001132,Male,41,3780.0,84900.0,649.0,Employed,1,360,Urban,1
LP001133,Male,25,8720.0,209200.0,644.0,Self-Employed,0,360,Urban,1
LP001134,Male,51,4900.0,126500.0,609.0,Self-Employed,0,60,Semi-Urban,0
LP001135,Female,32,3370.0,54800.0,703.0,Employed,0,120,Semi-Urban,1
LP001136,Male,40,1870.0,25500.0,634.0,Unemployed,0,120,Semi-Urban,0
LP001137,Male,41,2610.0,88400.0,641.0,Employed,1,120,Semi-Urban,0
LP001138,Female,35,10480.0,238400.0,669.0,Self-Employed,1,360,Semi-Urban,1
LP001139,Male,44,15580.0,260500.0,525.0,Self-Employed,1,360,Semi-Urban,0
LP001140,Female,32,35000.0,500000.0,793.0,Self-Employed,0,240,Urban,1
LP001141,Female,47,1610.0,33000.0,462.0,Unemployed,1,60,Semi-Urban,0
LP001142,Male,23,7210.0,90000.0,708.0,Employed,0,360,Semi-Urban,1
LP001143,Male,39,4850.0,83200.0,697.0,Self-Employed,0,360,Semi-Urban,1
LP001144,Male,59,10020.0,157200.0,613.0,Employed,3,60,Semi-Urban,1
LP001145,Male,26,2940.0,64300.0,685.0,Self-Employed,1,360,Urban,1
LP001146,Male,30,9670.0,153700.0,604.0,Self-Employed,1,120,Semi-Urban,1
LP001147,Male,43,1470.0,21300.0,,Self-Employed,0,60,Urban,1
LP001148,Male,39,7880.0,234400.0,682.0,Employed,3,240,Semi-Urban,1
LP001149,Male,41,2960.0,86600.0,774.0,Self-Employed,1,240,Semi-Urban,1
